date,store_id,product_id,price,base_price,promo,marketing_spend,inventory,foot_traffic,competitor_price,weather_temp,holiday,units_sold,revenue,day_of_week,month
2025-05-08 13:15:03.956721,S00,P000,5.16,5.0,0,2.03,90,259,5.19,24.7,0,8,41.26,3,5
2025-05-08 13:15:03.956721,S00,P001,5.59,5.5,0,1.22,91,259,5.08,24.7,0,7,39.13,3,5
2025-05-08 13:15:03.956721,S00,P002,5.93,6.0,0,6.84,87,259,5.91,24.7,0,11,65.21,3,5
2025-05-08 13:15:03.956721,S00,P003,6.86,6.5,0,0.19,104,259,6.89,24.7,0,6,41.17,3,5
2025-05-08 13:15:03.956721,S00,P004,6.84,7.0,0,2.95,111,259,7.05,24.7,0,6,41.05,3,5
2025-05-08 13:15:03.956721,S01,P000,4.6,5.0,1,2.03,76,254,4.72,24.7,0,9,41.39,3,5
2025-05-08 13:15:03.956721,S01,P001,5.61,5.5,0,1.48,106,254,5.91,24.7,0,7,39.27,3,5
2025-05-08 13:15:03.956721,S01,P002,5.99,6.0,0,3.3,89,254,5.76,24.7,0,16,95.88,3,5
2025-05-08 13:15:03.956721,S01,P003,6.54,6.5,0,0.77,103,254,6.95,24.7,0,9,58.88,3,5
2025-05-08 13:15:03.956721,S01,P004,6.95,7.0,0,0.5,95,254,7.0,24.7,0,17,118.12,3,5
2025-05-08 13:15:03.956721,S02,P000,4.91,5.0,0,0.67,99,325,5.35,24.7,0,6,29.43,3,5
2025-05-08 13:15:03.956721,S02,P001,5.54,5.5,0,0.54,115,325,5.5,24.7,0,9,49.84,3,5
2025-05-08 13:15:03.956721,S02,P002,5.81,6.0,0,0.98,78,325,6.02,24.7,0,20,116.28,3,5
2025-05-08 13:15:03.956721,S02,P003,6.45,6.5,0,1.51,120,325,6.68,24.7,0,9,58.08,3,5
2025-05-08 13:15:03.956721,S02,P004,7.04,7.0,0,4.55,75,325,7.27,24.7,0,7,49.25,3,5
2025-05-09 13:15:03.956721,S00,P000,4.88,5.0,0,2.74,80,213,5.16,28.5,0,14,68.33,4,5
2025-05-09 13:15:03.956721,S00,P001,5.4,5.5,0,7.22,72,213,5.54,28.5,0,10,54.05,4,5
2025-05-09 13:15:03.956721,S00,P002,6.0,6.0,0,12.82,94,213,6.44,28.5,0,12,72.02,4,5
2025-05-09 13:15:03.956721,S00,P003,6.48,6.5,0,3.81,90,213,6.74,28.5,0,10,64.84,4,5
2025-05-09 13:15:03.956721,S00,P004,7.02,7.0,0,9.22,82,213,7.13,28.5,0,7,49.17,4,5
2025-05-09 13:15:03.956721,S01,P000,5.06,5.0,0,3.31,127,310,4.76,28.5,0,17,85.95,4,5
2025-05-09 13:15:03.956721,S01,P001,5.53,5.5,0,3.18,122,310,5.66,28.5,0,9,49.75,4,5
2025-05-09 13:15:03.956721,S01,P002,6.09,6.0,0,0.68,89,310,5.99,28.5,0,8,48.73,4,5
2025-05-09 13:15:03.956721,S01,P003,6.51,6.5,0,2.59,136,310,7.28,28.5,0,9,58.59,4,5
2025-05-09 13:15:03.956721,S01,P004,7.06,7.0,0,32.87,97,310,6.72,28.5,0,13,91.8,4,5
2025-05-09 13:15:03.956721,S02,P000,5.03,5.0,0,6.2,118,375,4.6,28.5,0,16,80.51,4,5
2025-05-09 13:15:03.956721,S02,P001,5.33,5.5,0,1.23,125,375,5.37,28.5,0,4,21.33,4,5
2025-05-09 13:15:03.956721,S02,P002,5.97,6.0,0,0.38,99,375,6.56,28.5,0,9,53.74,4,5
2025-05-09 13:15:03.956721,S02,P003,6.44,6.5,0,3.88,128,375,6.54,28.5,0,12,77.31,4,5
2025-05-09 13:15:03.956721,S02,P004,6.97,7.0,0,0.98,112,375,7.02,28.5,0,13,90.63,4,5
2025-05-10 13:15:03.956721,S00,P000,4.95,5.0,0,16.85,117,277,5.05,27.4,0,10,49.51,5,5
2025-05-10 13:15:03.956721,S00,P001,5.6,5.5,0,0.39,116,277,5.58,27.4,0,9,50.39,5,5
2025-05-10 13:15:03.956721,S00,P002,6.19,6.0,0,1.41,91,277,5.87,27.4,0,13,80.42,5,5
2025-05-10 13:15:03.956721,S00,P003,6.54,6.5,0,1.19,101,277,6.46,27.4,0,9,58.88,5,5
2025-05-10 13:15:03.956721,S00,P004,7.11,7.0,0,1.17,86,277,7.23,27.4,0,15,106.62,5,5
2025-05-10 13:15:03.956721,S01,P000,5.14,5.0,0,17.25,89,328,5.06,27.4,0,10,51.36,5,5
